country,league,fd_league
England,Premier League,E0
England,Championship,E1
England,League 1,E2
England,League 2,E3
England,Conference,EC
Scotland,Premier League,SC0
Scotland,Division 1,SC1
Scotland,Division 2,SC2
Scotland,Division 3,SC3
Germany,Bundesliga 1,D1
Germany,Bundesliga 2,D2
Italy,Serie A,I1
Italy,Serie B,I2
Spain,La Liga Primera Division,SP1
Spain,La Liga Segunda Division,SP2
France,Le Championnat,F1
France,Division 2,F2
Netherlands,Eredivisie,N1
Belgium,Jupiler League,B1
Portugal,Liga I,P1
Turkey,Futbol Ligi 1,T1
Greece,Ethniki Katigoria,G1
